table_catalog,table_schema,table_name,column_name,data_type,is_nullable,description,default_value
default_catalog,default_schema,Plant_1_Weather_Sensor_Data,DATE_TIME,object,NO,Timestamp indicating the date and time of the record in Plant_1_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_1_Weather_Sensor_Data,PLANT_ID,int64,NO,Identifier for the plant associated with the record in Plant_1_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_1_Weather_Sensor_Data,SOURCE_KEY,object,NO,Unique key identifying the data source in Plant_1_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_1_Weather_Sensor_Data,AMBIENT_TEMPERATURE,float64,NO,Ambient temperature recorded by sensors in Plant_1_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_1_Weather_Sensor_Data,MODULE_TEMPERATURE,float64,NO,Temperature of the solar module recorded in Plant_1_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_1_Weather_Sensor_Data,IRRADIATION,float64,NO,Description for IRRADIATION in Plant_1_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,DATE_TIME,object,NO,Timestamp indicating the date and time of the record in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,PLANT_ID,int64,NO,Identifier for the plant associated with the record in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,SOURCE_KEY,object,NO,Unique key identifying the data source in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,DC_POWER,float64,NO,Description for DC_POWER in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,AC_POWER,float64,NO,Description for AC_POWER in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,DAILY_YIELD,float64,NO,Description for DAILY_YIELD in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Generation_Data,TOTAL_YIELD,float64,NO,Description for TOTAL_YIELD in Plant_2_Generation_Data.,
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,DATE_TIME,object,NO,Timestamp indicating the date and time of the record in Plant_2_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,PLANT_ID,int64,NO,Identifier for the plant associated with the record in Plant_2_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,SOURCE_KEY,object,NO,Unique key identifying the data source in Plant_2_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,AMBIENT_TEMPERATURE,float64,NO,Ambient temperature recorded by sensors in Plant_2_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,MODULE_TEMPERATURE,float64,NO,Temperature of the solar module recorded in Plant_2_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,IRRADIATION,float64,NO,Description for IRRADIATION in Plant_2_Weather_Sensor_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,DATE_TIME,object,NO,Timestamp indicating the date and time of the record in Plant_1_Generation_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,PLANT_ID,int64,NO,Identifier for the plant associated with the record in Plant_1_Generation_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,SOURCE_KEY,object,NO,Unique key identifying the data source in Plant_1_Generation_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,DC_POWER,float64,NO,Description for DC_POWER in Plant_1_Generation_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,AC_POWER,float64,NO,Description for AC_POWER in Plant_1_Generation_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,DAILY_YIELD,float64,NO,Description for DAILY_YIELD in Plant_1_Generation_Data.,
default_catalog,default_schema,Plant_1_Generation_Data,TOTAL_YIELD,float64,NO,Description for TOTAL_YIELD in Plant_1_Generation_Data.,
